ER_335,Real Isolate ID,Project,Freezer Location,Shelf Number,Box Name,No. glycerol stocks,SILVA classification,Isolation Conditions,Source,Date Isolated,Isolated by; PI,Genome Sequence
43,MBR-64,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Rhodobacteraceae,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
44,MBR-65,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Rhodobacteraceae,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
45,MBR-66,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Rhodobacteraceae,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
46,MBR-68,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Marinobacter,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
47,MBR-69,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Labrenzia,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
48,MBR-70,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Marinobacter,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
49,MBR-71,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Marinobacter,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
50,MBR-73,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Roseovarius,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
51,MBR-74,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD-MBR Isolates 42-77 Glycerol Stock,2.0,Roseovarius,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 250, TDS 80g/L",2020-01-26,Shwetha Acharya; Romy C./Susannah T.,
52,MBR-78,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-107,2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
53,MBR-79,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-108,2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
54,MBR-81,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-109,2.0,Roseovarius,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
55,MBR-82,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-110,2.0,Rhodobacteraceae,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
56,MBR-84,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-111,2.0,Rhodobacteraceae,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
57,MBR-89,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-112,2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
58,MBR-90,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-113,2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
59,MBR-91,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-114,2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
60,MBR-92,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-115,2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
61,MBR-93,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-116,2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
62,MBR-94,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-117,2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
63,MBR-95,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-118,2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
64,MBR-99,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-119,2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
65,MBR-100,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-120,2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
66,MBR-102,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-121,2.0,Thallospira,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
67,MBR-103,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-122,2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
68,MBR-104,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-123,2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
69,MBR-105,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-124,2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
70,MBR-106,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-125,2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
71,MBR-107,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Isolates Glycerol Stock MBR from 78-126,2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
72,MBR 108,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-108-116) (PWCA-1-6),2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
73,MBR 109,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-108-116) (PWCA-1-6),2.0,Marinobacterium,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
74,MBR 110,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-108-116) (PWCA-1-6),2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
75,MBR 111,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-108-116) (PWCA-1-6),2.0,Marinobacterium,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 291, TDS 90g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
76,MBR 113,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-108-116) (PWCA-1-6),2.0,Limibacillus,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 206, TDS 60g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
77,MBR 114,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-108-116) (PWCA-1-6),2.0,Limibacillus,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 206, TDS 60g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
78,MBR 115,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-108-116) (PWCA-1-6),2.0,Limibacillus,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 206, TDS 60g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
79,MBR 116,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-108-116) (PWCA-1-6),2.0,Limibacillus,"Marine Agar + 2.5% NaCl, 30 C","MBR sludge -Day 206, TDS 60g/L",2020-03-16,Shwetha Acharya; Romy C./Susannah T.,
80,MBR 117,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
81,MBR 118,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
82,MBR 119,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
83,MBR 120,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
84,MBR 121,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Halomonas,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
85,MBR 122,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
86,MBR 123,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Idiomarina,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
87,MBR 125,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Idiomarina,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
88,MBR 126,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Thallospira,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
89,MBR 127,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
90,MBR 128,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
91,MBR 130,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
92,MBR 131,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,PW LDRD Glycerol Stock of Isolates (M-117-154),2.0,Marinobacter,"Marine Agar + 5% NaCl, 30 C","MBR sludge -Day 326, TDS 100g/L",2020-06-14,Shwetha Acharya; Romy C./Susannah T.,
