real_isolate_id,project,source,date_isolated,genome_sequence
Angelo Soil ,,"Pseudomonas frederiksbergensis strain DSM 13022 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Herminiimonas contaminans strain CCUG 53591 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Pseudomonas umsongensis strain Ps 3-10 16S ribosomal RNA, partial se",,
Angelo Soil ,,"Herminiimonas contaminans strain CCUG 53591 16S ribosomal RNA, partia",,
Angelo Soil ,,"Bacillus simplex strain LMG 11160 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Herminiimonas contaminans strain CCUG 53591 16S ribosomal RNA, partia",,
Angelo Soil ,,"Pseudomonas sp. strain GGS10 16S ribosomal RNA gene, partial sequence",,
Angelo Soil ,,"Pseudomonas sp. strain WPS1 16S ribosomal RNA gene, partial sequence",,
Angelo Soil ,,"Arthrobacter sp. strain H406 16S ribosomal RNA gene, partial sequence",,
Angelo Soil ,,"Pseudomonas sp. strain WPS1 16S ribosomal RNA gene, partial sequence",,
Angelo Soil ,,"Nocardia coeliaca strain DSM 44595 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Nocardia coeliaca strain DSM 44595 16S ribosomal RNA, partial sequence",,
Angelo Soil ,,"Pseudomonas sp. strain WPS1 16S ribosomal RNA gene, partial sequence",,
Asp-G2-1,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Asp-G2-1,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Asp-G2-1,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
Asp-G2-10,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Asp-G2-10,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
Asp-G2-10,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
Asp-G2-10,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Asp-G2-13,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Asp-G2-13,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Asp-G2-2,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
Asp-G2-2,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Asp-G2-2,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Asp-G2-2,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
Asp-G2-3,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
Asp-G2-3,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Asp-G2-3,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Asp-G2-3,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
Asp-G2-5,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Asp-G2-5,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
Asp-G2-5,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Asp-G2-7,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
Asp-G2-9,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
Asp-G2-9,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Asp-G2-9,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
Asp-G2-9,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
C-G2-1,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-26,
D,SRB isolates,,,
E,SRB isolates,,,
G,SRB isolates,,,
G-G2-1,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
G-G2-1,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
G-G2-1,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
G-G2-11,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
G-G2-12,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
G-G2-13,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
G-G2-14,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
G-G2-15,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
G-G2-16,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
G-G2-18,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
G-G2-19,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
G-G2-2,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
G-G2-2,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
G-G2-2,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
G-G2-3,,Nameera enrichments with B. distachyon in Davis soil,2020-03-12,
G-G2-3,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
G-G2-3,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
G-G2-4,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
G-G2-4,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
G-G2-4,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
G-G2-5,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
G-G2-5,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-07,
G-G2-5,,Nameera enrichments with B. distachyon in Davis soil,2020-02-07,
